source,target,relationship_type,qualificacao_socio
HENRIQUE MOURA VORCARO,TROPICAL CLUBE DE MINAS GERAIS,person_to_company,16
HENRIQUE MOURA VORCARO,RENOVO RECICLAGEM DE RESIDUOS LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,MULTIMAX PARTICIPACOES S/A,person_to_company,10
HENRIQUE MOURA VORCARO,INFINITY PARTICIPACOES S/A,person_to_company,10
HENRIQUE MOURA VORCARO,HV EMPREENDIMENTOS E PARTICIPACOES LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,PROLIFE MG HOLDING LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,ABM INVESTIMENTOS IMOBILIARIOS LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,RETIRO PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,ANTONIO CARLOS TOWER LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,HELTON JONAS G. VILELA & CIA LTDA,person_to_company,22
HENRIQUE MOURA VORCARO,EUKARYOTA PARTICIPACOES S/A.,person_to_company,16
HENRIQUE MOURA VORCARO,SHINE BAZAR E COSMETICOS LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,BELO PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,TOTES MANUTENCAO LTDA,person_to_company,22
HENRIQUE MOURA VORCARO,JULIO LOURENCO NETO E CIA LTDA,person_to_company,22
HENRIQUE MOURA VORCARO,SUN CLEAN DO BRASIL LTDA.,person_to_company,49
HENRIQUE MOURA VORCARO,CENTRO SUL EMPREENDIMENTOS LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,BLUE BAHIA LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,SOZO PARTICIPACOES S.A.,person_to_company,5
HENRIQUE MOURA VORCARO,RENATO TOMAIN LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,FALCON BH INVESTIMENTOS LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,ARRAIAL PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,TERNI PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,SUPERMERCADO MG DA ECONOMIA LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,MERCATO CONSULTORIA IMOBILIARIA LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,VORCARO EMPREENDIMENTOS LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,RONIE A. T. TOMBA LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,MILO INVESTIMENTOS S.A.,person_to_company,10
HENRIQUE MOURA VORCARO,WEST PARTICIPACOES LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,ALLIANCE PARTICIPACOES S/A,person_to_company,16
HENRIQUE MOURA VORCARO,REINO GROUP PARTICIPACOES S.A.,person_to_company,10
HENRIQUE MOURA VORCARO,HEBRON PARTICIPACOES LTDA.,person_to_company,49
HENRIQUE MOURA VORCARO,GALPAO CONTAGEM PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,EAGLES BRASIL PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,EAGLES VISION LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,PACIFIC REALTY S/A,person_to_company,16
HENRIQUE MOURA VORCARO,GOLDEN TOWER EMPREENDIMENTOS IMOBILIARIOS S/A,person_to_company,16
HENRIQUE MOURA VORCARO,PROSPERAR EMPREENDIMENTOS DE VENDAS LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,ASCOBI ASSOCIACAO COMERCIAL DO BAIRRO DAS INDUSTRIAS,person_to_company,10
HENRIQUE MOURA VORCARO,DINIZ ENGENHARIA SOLUCOES INDUSTRIAIS LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,EUFRATES EMPREENDIMENTOS E PARTICIPACOES LTDA.,person_to_company,49
HENRIQUE MOURA VORCARO,NOVA IGUACU PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,MC SOLUCOES DIGITAIS LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,LAJES PIRANGUCU LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,PARK PARTICIPACOES S.A.,person_to_company,10
HENRIQUE MOURA VORCARO,HMV PARTICIPACOES LTDA.,person_to_company,49
HENRIQUE MOURA VORCARO,FANSI BAZAR E COMERCIO LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,MC PERFORMANCE MARKETING LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,MENDONCA BITTENCOURT PARTICIPACOES LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,CITY GARDEN ARBORIZACAO URBANA LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,LAB ANALISES CLINICAS CONCEICAO APARECIDA S/C LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,"MINI-RAPADURA ""IDEAL"" SOCIEDADE COMERCIAL LTDA",person_to_company,49
HENRIQUE MOURA VORCARO,VORCAUTO VEICULOS LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,PQS EMPREENDIMENTOS EDUCACIONAIS LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,MOUNTAIN PARTICIPACOES S.A.,person_to_company,10
HENRIQUE MOURA VORCARO,GNI11 EMPREENDIMENTOS IMOBILIARIOS S.A.,person_to_company,16
HENRIQUE MOURA VORCARO,GOLDEN IMOVEIS LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,LABORATORIO CONCEICAO APARECIDA LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,VEM SORRIR CLINICA DO POVO LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,LIFE HOLDING LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,TROPEIRO LOCACOES LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,SB SOUZA COMERCIAL LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,MERCATTO INCORPORACOES IMOBILIARIAS LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,MOUNTAIN II PARTICIPACOES S.A.,person_to_company,10
HENRIQUE MOURA VORCARO,REINO PARTICIPACOES S.A.,person_to_company,16
HENRIQUE MOURA VORCARO,INTER PARTICIPACOES LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,PORTO HOLDING S.A.,person_to_company,10
HENRIQUE MOURA VORCARO,REDE IMOBILIARIA LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,LCN MERCEARIA E COMERCIO DE BEBIDAS LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,RIO PARTICIPACOES LTDA.,person_to_company,5
HENRIQUE MOURA VORCARO,DAVALOVI ENGENHARIA E CONSTRUCAO LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,CSS EMPREENDIMENTOS E PARTICIPACOES LTDA,person_to_company,49
HENRIQUE MOURA VORCARO,SPE CESTO INCORPORADORA S.A.,person_to_company,16
HENRIQUE MOURA VORCARO,AGUA E TERRA AGROPECUARIA LTDA,person_to_company,5
HENRIQUE MOURA VORCARO,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,person_to_company,16
HENRIQUE MOURA VORCARO,ELEICOES 2004 CF - PIRANGUCU - MG - COMITE FINANC MUN P/VEREADOR - PL,person_to_company,16
RENOVO RECICLAGEM DE RESIDUOS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
RENOVO RECICLAGEM DE RESIDUOS LTDA,EDILSON OLIVEIRA DE SOUZA,company_to_socio,49
HV EMPREENDIMENTOS E PARTICIPACOES LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
HEBRON PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,49
HEBRON PARTICIPACOES LTDA.,HV EMPREENDIMENTOS E PARTICIPACOES LTDA,company_to_socio,22
PACIFIC REALTY S/A,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
PACIFIC REALTY S/A,HENRIQUE MOURA VORCARO,company_to_socio,16
VORCAUTO VEICULOS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
VORCAUTO VEICULOS LTDA,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,22
VORCAUTO VEICULOS LTDA,MERCATTO INCORPORACOES IMOBILIARIAS LTDA,company_to_socio,22
VORCAUTO VEICULOS LTDA,NATALIA BUENO VORCARO ZETTEL,company_to_socio,5
PQS EMPREENDIMENTOS EDUCACIONAIS LTDA,MERCATO CONSULTORIA IMOBILIARIA LTDA.,company_to_socio,22
PQS EMPREENDIMENTOS EDUCACIONAIS LTDA,JOAO LUCAS MAZONI ANDRADE,company_to_socio,5
PQS EMPREENDIMENTOS EDUCACIONAIS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
GOLDEN IMOVEIS LTDA.,MILO INVESTIMENTOS S.A.,company_to_socio,22
GOLDEN IMOVEIS LTDA.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,5
GOLDEN IMOVEIS LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
LABORATORIO CONCEICAO APARECIDA LTDA,JONAS MIGUEL VILELA,company_to_socio,49
LABORATORIO CONCEICAO APARECIDA LTDA,HELTON JONAS GONCALVES VILELA,company_to_socio,22
VEM SORRIR CLINICA DO POVO LTDA,TUANE FERNANDES MENALI PEREIRA,company_to_socio,49
VEM SORRIR CLINICA DO POVO LTDA,JULIO OLIMPIO DE CARVALHO,company_to_socio,5
VEM SORRIR CLINICA DO POVO LTDA,MARIELY LACERDA DOS SANTOS,company_to_socio,49
VEM SORRIR CLINICA DO POVO LTDA,IMPLANTE FELIZ PARTICIPACOES LTDA,company_to_socio,22
RIO PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
RIO PARTICIPACOES LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
ELEICOES 2004 CF - PIRANGUCU - MG - COMITE FINANC MUN P/VEREADOR - PL,ANNA ISABEL RIBEIRO DA SILVA,company_to_socio,16
MULTIMAX PARTICIPACOES S/A,NATALIA BUENO VORCARO ZETTEL,company_to_socio,16
MULTIMAX PARTICIPACOES S/A,HENRIQUE MOURA VORCARO,company_to_socio,10
